?cls	?xref
<http://purl.obolibrary.org/obo/ZFA_0000184>	"TAO:0000184"
<http://purl.obolibrary.org/obo/ZFA_0000260>	"TAO:0000260"
<http://purl.obolibrary.org/obo/ZFA_0005291>	"TAO:0005291"
<http://purl.obolibrary.org/obo/ZFA_0000686>	"TAO:0000686"
<http://purl.obolibrary.org/obo/ZFA_0007011>	"TAO:0007011"
<http://purl.obolibrary.org/obo/ZFA_0000123>	"TAO:0000123"
<http://purl.obolibrary.org/obo/ZFA_0007025>	"TAO:0007025"
<http://purl.obolibrary.org/obo/ZFA_0000276>	"TAO:0000276"
<http://purl.obolibrary.org/obo/ZFA_0009153>	"TAO:0009153"
<http://purl.obolibrary.org/obo/ZFA_0009153>	"CL:0000253"
<http://purl.obolibrary.org/obo/ZFA_0001076>	"TAO:0001076"
<http://purl.obolibrary.org/obo/ZFA_0009316>	"TAO:0009316"
<http://purl.obolibrary.org/obo/ZFA_0009316>	"CL:0000746"
<http://purl.obolibrary.org/obo/ZFA_0001612>	"TAO:0001595"
<http://purl.obolibrary.org/obo/ZFA_0000386>	"TAO:0000386"
<http://purl.obolibrary.org/obo/ZFA_0001592>	"TAO:0001592"
<http://purl.obolibrary.org/obo/ZFA_0005740>	"CL:0002080"
<http://purl.obolibrary.org/obo/ZFA_0001186>	"TAO:0001186"
<http://purl.obolibrary.org/obo/ZFA_0001411>	"TAO:0001411"
<http://purl.obolibrary.org/obo/ZFA_0000797>	"TAO:0000797"
<http://purl.obolibrary.org/obo/ZFA_0001349>	"TAO:0001349"
<http://purl.obolibrary.org/obo/ZFA_0009011>	"TAO:0009011"
<http://purl.obolibrary.org/obo/ZFA_0009011>	"CL:0000031"
<http://purl.obolibrary.org/obo/ZFA_0000026>	"TAO:0000026"
<http://purl.obolibrary.org/obo/ZFA_0005477>	"TAO:0002032"
<http://purl.obolibrary.org/obo/ZFA_0001278>	"TAO:0001278"
<http://purl.obolibrary.org/obo/ZFA_0000665>	"TAO:0000665"
<http://purl.obolibrary.org/obo/ZFA_0000741>	"TAO:0000741"
<http://purl.obolibrary.org/obo/ZFA_0000080>	"TAO:0000080"
<http://purl.obolibrary.org/obo/ZFA_0001419>	"TAO:0001419"
<http://purl.obolibrary.org/obo/ZFA_0000679>	"TAO:0000679"
<http://purl.obolibrary.org/obo/ZFA_0001515>	"TAO:0001515"
<http://purl.obolibrary.org/obo/ZFA_0009044>	"TAO:0009044"
<http://purl.obolibrary.org/obo/ZFA_0009044>	"CL:0000081"
<http://purl.obolibrary.org/obo/ZFA_0005149>	"TAO:0005149"
<http://purl.obolibrary.org/obo/ZFA_0001625>	"TAO:0002213"
<http://purl.obolibrary.org/obo/ZFA_0000749>	"TAO:0000749"
<http://purl.obolibrary.org/obo/ZFA_0009136>	"TAO:0009136"
<http://purl.obolibrary.org/obo/ZFA_0009136>	"CL:0000219"
<http://purl.obolibrary.org/obo/ZFA_0005034>	"TAO:0005034"
<http://purl.obolibrary.org/obo/ZFA_0005560>	"TAO:0001832"
<http://purl.obolibrary.org/obo/ZFA_0001231>	"TAO:0001231"
<http://purl.obolibrary.org/obo/ZFA_0000262>	"TAO:0000262"
<http://purl.obolibrary.org/obo/ZFA_0000443>	"TAO:0000443"
<http://purl.obolibrary.org/obo/ZFA_0009246>	"TAO:0009246"
<http://purl.obolibrary.org/obo/ZFA_0009246>	"CL:0000535"
<http://purl.obolibrary.org/obo/ZFA_0005303>	"TAO:0005303"
<http://purl.obolibrary.org/obo/ZFA_0000005>	"TAO:0000005"
<http://purl.obolibrary.org/obo/ZFA_0001169>	"TAO:0001169"
<http://purl.obolibrary.org/obo/ZFA_0005317>	"TAO:0005317"
<http://purl.obolibrary.org/obo/ZFA_0000962>	"TAO:0000962"
<http://purl.obolibrary.org/obo/ZFA_0000019>	"TAO:0000019"
<http://purl.obolibrary.org/obo/ZFA_0009302>	"CL:0000703"
<http://purl.obolibrary.org/obo/ZFA_0009302>	"TAO:0009302"
<http://purl.obolibrary.org/obo/ZFA_0000372>	"TAO:0000372"
