?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/ZFA_0009177>	<http://www.w3.org/2000/01/rdf-schema#label>	"blastoderm cell"	
<http://purl.obolibrary.org/obo/ZFA_0009102>	<http://www.w3.org/2000/01/rdf-schema#label>	"pancreatic B cell"	
<http://purl.obolibrary.org/obo/ZFA_0005403>	<http://www.w3.org/2000/01/rdf-schema#label>	"anal fin lepidotrichium 5"	
<http://purl.obolibrary.org/obo/ZFA_0001025>	<http://www.w3.org/2000/01/rdf-schema#label>	"occipital lateral line neuromast"	
<http://purl.obolibrary.org/obo/ZFA_0005097>	<http://www.w3.org/2000/01/rdf-schema#label>	"caudal fin vasculature"	
<http://purl.obolibrary.org/obo/ZFA_0001272>	<http://www.w3.org/2000/01/rdf-schema#label>	"palatoquadrate arch"	
<http://purl.obolibrary.org/obo/ZFA_0009287>	<http://www.w3.org/2000/01/rdf-schema#label>	"collagen secreting cell"	
<http://purl.obolibrary.org/obo/ZFA_0005588>	<http://www.w3.org/2000/01/rdf-schema#label>	"comma-shaped body"	
<http://purl.obolibrary.org/obo/ZFA_0001308>	<http://www.w3.org/2000/01/rdf-schema#label>	"organism subdivision"	
<http://purl.obolibrary.org/obo/ZFA_0001135>	<http://www.w3.org/2000/01/rdf-schema#label>	"neural tube"	
<http://purl.obolibrary.org/obo/ZFA_0001706>	<http://www.w3.org/2000/01/rdf-schema#label>	"Purkinje cell layer corpus cerebelli"	
<http://purl.obolibrary.org/obo/ZFA_0009365>	<http://www.w3.org/2000/01/rdf-schema#label>	"interneuromast cell"	
<http://purl.obolibrary.org/obo/ZFA_0005895>	<http://www.w3.org/2000/01/rdf-schema#label>	"trigeminal-facial chamber"	
<http://purl.obolibrary.org/obo/ZFA_0009379>	<http://www.w3.org/2000/01/rdf-schema#label>	"intrahepatic bile duct epithelial cell"	
<http://purl.obolibrary.org/obo/ZFA_0000751>	<http://www.w3.org/2000/01/rdf-schema#label>	"epaxial region somite 8"	
<http://purl.obolibrary.org/obo/ZFA_0005436>	<http://www.w3.org/2000/01/rdf-schema#label>	"pectoral fin nerve"	
<http://purl.obolibrary.org/obo/ZFA_0000090>	<http://www.w3.org/2000/01/rdf-schema#label>	"apical ectodermal ridge dorsal fin"	
<http://purl.obolibrary.org/obo/ZFA_0000861>	<http://www.w3.org/2000/01/rdf-schema#label>	"ventral oblique extraocular muscle"	
<http://purl.obolibrary.org/obo/ZFA_0005546>	<http://www.w3.org/2000/01/rdf-schema#label>	"pelvic fin actinotrichium"	
<http://purl.obolibrary.org/obo/ZFA_0000248>	<http://www.w3.org/2000/01/rdf-schema#label>	"magnocellular preoptic nucleus"	
<http://purl.obolibrary.org/obo/ZFA_0005480>	<http://www.w3.org/2000/01/rdf-schema#label>	"orbitosphenoid-prootic joint"	
<http://purl.obolibrary.org/obo/ZFA_0000606>	<http://www.w3.org/2000/01/rdf-schema#label>	"ventral oblique branchial muscle"	
<http://purl.obolibrary.org/obo/ZFA_0005699>	<http://www.w3.org/2000/01/rdf-schema#label>	"vmGy"	
<http://purl.obolibrary.org/obo/ZFA_0000759>	<http://www.w3.org/2000/01/rdf-schema#label>	"fast muscle cell somite 5"	
<http://purl.obolibrary.org/obo/ZFA_0005590>	<http://www.w3.org/2000/01/rdf-schema#label>	"capillary loop nephron"	
<http://purl.obolibrary.org/obo/ZFA_0001493>	<http://www.w3.org/2000/01/rdf-schema#label>	"atypical epithelium"	
<http://purl.obolibrary.org/obo/ZFA_0005638>	<http://www.w3.org/2000/01/rdf-schema#label>	"scapulo-vertebral ligament"	
<http://purl.obolibrary.org/obo/ZFA_0005152>	<http://www.w3.org/2000/01/rdf-schema#label>	"silver iridophore"	
<http://purl.obolibrary.org/obo/ZFA_0000869>	<http://www.w3.org/2000/01/rdf-schema#label>	"epaxial region somite 23"	
<http://purl.obolibrary.org/obo/ZFA_0000402>	<http://www.w3.org/2000/01/rdf-schema#label>	"olfactory bulb"	
<http://purl.obolibrary.org/obo/ZFA_0009205>	<http://www.w3.org/2000/01/rdf-schema#label>	"melanocyte stimulating hormone secreting cell"	
<http://purl.obolibrary.org/obo/ZFA_0007060>	<http://www.w3.org/2000/01/rdf-schema#label>	"dorsolateral field"	
<http://purl.obolibrary.org/obo/ZFA_0007108>	<http://www.w3.org/2000/01/rdf-schema#label>	"vertebra 25"	
<http://purl.obolibrary.org/obo/ZFA_0001128>	<http://www.w3.org/2000/01/rdf-schema#label>	"pharyngeal pouch 1"	
<http://purl.obolibrary.org/obo/ZFA_0000717>	<http://www.w3.org/2000/01/rdf-schema#label>	"apical ectodermal ridge median fin fold"	
<http://purl.obolibrary.org/obo/ZFA_0009358>	<http://www.w3.org/2000/01/rdf-schema#label>	"ciliated olfactory receptor neuron"	
<http://purl.obolibrary.org/obo/ZFA_0000986>	<http://www.w3.org/2000/01/rdf-schema#label>	"hypaxial region somite 27"	
<http://purl.obolibrary.org/obo/ZFA_0000201>	<http://www.w3.org/2000/01/rdf-schema#label>	"dorsal transverse"	
<http://purl.obolibrary.org/obo/ZFA_0000396>	<http://www.w3.org/2000/01/rdf-schema#label>	"nervous system"	
<http://purl.obolibrary.org/obo/ZFA_0005256>	<http://www.w3.org/2000/01/rdf-schema#label>	"intervillus pockets"	
<http://purl.obolibrary.org/obo/ZFA_0005813>	<http://www.w3.org/2000/01/rdf-schema#label>	"coronary capillary"	
<http://purl.obolibrary.org/obo/ZFA_0000827>	<http://www.w3.org/2000/01/rdf-schema#label>	"fast muscle cell somite 26"	
<http://purl.obolibrary.org/obo/ZFA_0001050>	<http://www.w3.org/2000/01/rdf-schema#label>	"slow muscle cell somite 19"	
<http://purl.obolibrary.org/obo/ZFA_0000681>	<http://www.w3.org/2000/01/rdf-schema#label>	"neural postzygapophysis"	
<http://purl.obolibrary.org/obo/ZFA_0000193>	<http://www.w3.org/2000/01/rdf-schema#label>	"diffuse nucleus inferior lobe"	
<http://purl.obolibrary.org/obo/ZFA_0001689>	<http://www.w3.org/2000/01/rdf-schema#label>	"anatomical line"	
<http://purl.obolibrary.org/obo/ZFA_0000068>	<http://www.w3.org/2000/01/rdf-schema#label>	"proneural cluster"	
<http://purl.obolibrary.org/obo/ZFA_0005529>	<http://www.w3.org/2000/01/rdf-schema#label>	"caudal fin principal ray 19"	
<http://purl.obolibrary.org/obo/ZFA_0000209>	<http://www.w3.org/2000/01/rdf-schema#label>	"lateral preglomerular nucleus"	
<http://purl.obolibrary.org/obo/ZFA_0000919>	<http://www.w3.org/2000/01/rdf-schema#label>	"muscle pioneer somite 23"	
<http://purl.obolibrary.org/obo/ZFA_0009108>	<http://www.w3.org/2000/01/rdf-schema#label>	"Leydig cell"	
<http://purl.obolibrary.org/obo/ZFA_0005917>	<http://www.w3.org/2000/01/rdf-schema#label>	"anterior-posterior polarized neuromast"	
<http://purl.obolibrary.org/obo/ZFA_0000543>	<http://www.w3.org/2000/01/rdf-schema#label>	"medial longitudinal fasciculus"	
<http://purl.obolibrary.org/obo/ZFA_0009162>	<http://www.w3.org/2000/01/rdf-schema#label>	"extracellular matrix secreting cell"	
<http://purl.obolibrary.org/obo/ZFA_0000812>	<http://www.w3.org/2000/01/rdf-schema#label>	"neural crest telencephalon"	
<http://purl.obolibrary.org/obo/ZFS_0000036>	<http://www.w3.org/2000/01/rdf-schema#label>	"larval:day 4"	
<http://purl.obolibrary.org/obo/ZFA_0000151>	<http://www.w3.org/2000/01/rdf-schema#label>	"pronephros"	
<http://purl.obolibrary.org/obo/ZFA_0005961>	<http://www.w3.org/2000/01/rdf-schema#label>	"opisthural cartilage"	
<http://purl.obolibrary.org/obo/ZFA_0009025>	<http://www.w3.org/2000/01/rdf-schema#label>	"myoblast"	
<http://purl.obolibrary.org/obo/ZFA_0005076>	<http://www.w3.org/2000/01/rdf-schema#label>	"primordial vasculature"	
<http://purl.obolibrary.org/obo/ZFA_0005421>	<http://www.w3.org/2000/01/rdf-schema#label>	"autopalatine-maxillary joint"	
